,content
101,"THANK GOODNESS! An easy, user friendly, not glitchy app. I just got rid of an awful app to use this one. Thanks!"
102,Its fun and simple perfect! I do wish there were more colors for the wallpaper though but other then that! 👍
103,Nyc app
104,Bad
105,Organized
106,NYC app
107,Very good app. I can see my daily Accomplishments. I was able to do list in the future task and see it as well according to assigned date. Thanks very much
108,تطبيق جميل انصحكم بي♥
109,Very good and nice app to use love it from India.
110,Nice
111,Love it
112,Normal app even without premium
113,Good app to planer
114,"Awesome 👍 I love the fact that I can do everything without glitches, it also helps me set daily reminders"
115,Nice
116,Me encanta
117,Good app
118,Best app poz use
119,Nice app tho i only use the free trial 🥲
120,I love this app because it is so simple and easy but it is really advanced but put in a simple way and it really helps me a lot.
121,Noice~
122,Paid
123,Nice appa
124,Gucci gang
125,BEST
126,"I like this app because it helps me remember about the things I need to do, and it also keeps me motivated. I only have one problem though, there are a lot of ads .. Everytime I click something (2 or 3 times,) an ad will suddenly appear."
127,"It's pretty good, but the widget for homescreen keeps glitching so I can't use it. It just won't open."
128,"This app is worst. Waste of time, plz dont use this aap"
129,"All great except when I edit a task, the navigation buttons hide. That is very irritating. Please stop hiding it."
130,the app is absolutely beautiful and very good
131,I love this app and I love how you can check out the ting you have done
132,Great
133,Aplication is the best
134,Very nice. Very nice.
135,This is a great app ad motivates me to do things that normally I wouldn't do ever its a life saver and I haven't had a single add yet I don't have to subscription (OPTIONAL) and yes I am real if you are wondering!!!
136,Great app and I love it
137,Perfect
138,Best app
139,Good
140,Great
141,No words to describe just wonderful!
142,So easy to use and useful
143,It's very nice and helps me to get things done
144,"Very nice app, that helped me to schedule all my task"
145,"They make you go pro for almost everything. And if you delete something that was free, you won't be able to get it back unless you go pro. I don't like it."
146,"Even the free version is good, very useful for the to do lists, recommended 👍🏻"
147,Good
148,Don't buy subscription
149,does what its meant to do but the layout isint clean and it has a premium version so ill give it 3
150,The best
151,"The app is great, but it has one big flaw in my opinion. The widget doesn't display birthdays. I went through the settings, but couldn't find anything to fix that."
152,This app is amazing.it gives me -esthetic vibe.before I donwlode this app I never seen this type of aesthetic vibe & notification on my phone that helps me to reminds me on any other to do list app.I love this app and don't have any complaint to this app 😊😊
153,This will surely help me become responsible with my daily tasks! Thank youuu for this!
154,Heavy cost
155,Nice work
156,Very useful app
157,Hsh
158,Unable ti set up sync. Says check network on both my mobiles.Waste of money
159,"Just started with the app, let's hope for the best"
160,Looks convenient i guess
161,"its easy to use, no ads, however the price si so high but allover usability and functionality is superb"
162,i dosent work on computers so thats why im giving it this rating cause i thought it would work on comp too
163,Nice app
164,رائع
165,Tried many apps but most suitable is it.
166,Costs a monthly subscription to use which is not disclosed prior to download.
167,wonderful 👍
168,Good app :)
169,it is soooo useful for me like i would put my reminders my to do list use itt!
170,"subscribed because it has a watch app too, and i have adhd. regretted it on day one. you cannot skip tasks, if you dont do them they just wont appear the next day. the widget is capricious, and wants to use whatever space it wants. cannot use widget to do anything else but open the app and to check a task - no skipping. the interface is boring, the scheduling tool not good enough. the syncing is a joke. use your calendar instead."
171,"This app help me alot for becoming best version of myself, Thank you!"
172,It's so good
173,"Bueno, parece una buena aplicación debo probarla más seguido."
174,"Love it for planning out my days. Run several errands. So each task is errand I'm traveling to, subtasks what I need to complete there. Enjoy that it pairs with smart watch.."
175,Awesome app
176,This app is amazing I use to use it in my old phone but I was glitching so it got this phone and decided to download it again
177,a very good app compard to others but i wish you could update the interface into only what's for today
178,Good
179,"It is quite useful and convenient you can create lists, add some details inside and add reminders.The most I like this app is the calender you can add some lists early that can advoid you forget something"
180,Great for students
181,Good app
182,Good app but little ads problem
183,I like it
184,"I love this app. As a student, it helps me get track of my study and other stuff. It is the best to-do list app I can find. My family and I use it all the time."
185,Simple crisp and clear
186,Good 👍
187,I like it because it's reminds you things
188,Nice aap
189,Grera experience
190,Superb app
191,Gooood really good as. Excepted
192,So far I like it. It's simple and free
193,this is so fun they always reminds me any time so download it now!
194,Excellent app
195,Its easy to use i like this app its helping me build many habits
196,Good
197,very helpful
198,Helps so much!
199,Very helpful
200,"""I am disappointed with this app as it lacks a trial period and requires immediate payment. Additionally, the app's inability to rotate on the tablet and its ordinary features do not justify the cost."""
201,I give 5 ⭐ because i find it easy to use 🙂
202,I have saved a ton of money using the to-do list scheduler!!! Lot less trips to the store and I use less recycled paper products.
203,"hi, I want to install it badly but if I'm gonna click the 'install' button, nothing happens. I don't knock what's the problem, Please help me. I really need this."
204,"I should pay for some to unlock, it's not pocket friendly. I should subscribe for more facility"
205,I just like the interface of this app and it helps to manage the task extremely well and the we can add notes and sub tasks which is very easy and good.
206,Literally the best app every It always help me remember things easily and it doesn't have any adds.love this app<3
207,Nice
208,Okay so far
209,حلو وعجبني
210,Just started
211,Very nice app didn't give in app purchase frequently and very effective for me organize my tasks
212,Uu
213,Good app .he help me to much
214,These kind of apps need to be fast and efficient to be worth the effort. The advertisement prevents that.
215,Great
216,Works better than the default
217,Nah I give 4 stars BC I have to pay
218,Good app.
219,Love it
220,خیلی پیچیده هست، کاش زبان فارسی هم داشت.
221,Good
222,I like this app
223,I would Prefer if you would not add the province because the beginners are the small child like me are going to suffer by not having the pro and by not having those bit of templates and something more which isn't your app for you only proves one to us and on whenever I select that it says to upgrade to pro I'm a child and I can't do that so that's where I'm going to give this a 2 and a 1/2 but it's not that options I'm going to do this a 2
224,It's nice
225,good
226,best
227,Work really good
228,جيد
229,Works okay but has ads? Why does a to-do list need adds? Just use pen and paper ten times easier.
230,"I don't know why we have to pay for basic stuffs like notifications , alarms, widgets.. You keep tasking us with such baduc functions? The most annoying thing is showing frequent ads after all this!! Me, and other 300 people working for me will all uninstall this app today! Until you fix this, bye"
231,So far good easy to use
232,This is good👍😇
233,Its good:)
234,I love it
235,I like it
236,Great!
237,Amazing app that's all I have to say
238,The best planner ever no ads or anything like that and it is free Hope this helps 🙏 ☺️ 😌
239,Best it's help me lot
240,Acha hai
241,This is the type of to-do list I've been looking for. I did pay for the one-timw Pro version as I didn't want ads. Not a terrible price based on other apps or buying a paper journal. It's also easy to use.
242,Fantastic app I started using recently but loved it ps apperance and performance level easy to use and very helpful to track our schedule
243,Superb!
244,I really like to do this because I get all of my stuff done and it really. Helps me out a lot so I won't have to remember so that's I get it 5 stars. I really like this app and you should try it too.
245,Ads every 2 minutes in a productivity app defeats the purpose. Pro should be for more features not to remove an artificial problem you've created for the user.
246,عالیییییییی خیلی خوبه و راحت و اسان
247,Nicee
248,Good app to organize and a good to do list just to mark of instead of paper and good for one the go
249,Best app
250,Startin good
251,"Was best if contained only ""in app purchase"" with limitations for free users like ticktick but it has ad also."
252,So many ads.
253,It is very good for students to do there work wonderfully.
254,Great app
255,Mail paul check all post
256,Runs great and easy to use
257,Love the app
258,So easy to use
259,Good
260,Best App in The Market
261,👍🏻❤️❤️❤️
262,"Nice layout, very useful"
263,جيدا
264,Love the app reguarding the free too use stuff if they keep adding more features easily a 5Stars
265,I love it
266,Very good
267,It's nice 👍👍👍 U can use this for work
268,Nice apps. Easy to use
269,It makes me happy to that I can get my planning done .
270,Your app is great actually I enjoyed planning with that but I rather that everything be free for us now I can't use some ability in this app and it's kinda hard for me please make some abilities free for us thanks 😊
271,Very nice application 😊
272,Good
273,I like the app
274,easy to use✨
275,It's a very good happy
276,Amazing
277,Loving this so far😊.!
278,"It doesn't let me do anything, it always asking me to pay"
279,Amazing
280,Its an amazing app definitely helped me
281,Love it
282,Simple and very effective. A very nice todo list.
283,Nice!
284,"the widget isnt scalable and has few functions: no skipping using the widget. if you skip a daily task one day, it wont appear the next day as it should, so you have to go back and check it on a previous day. syncing is a JOKE. watch app exists but no skipping or tile. i wanted my money back but i'm not eligible. use your calendar instead. no reason to download this, it offers nothing new. i regret purchasing premium."
285,Very useful thanks for doing this awesome work 🙂
286,I love it
287,Good and Simple
288,Good app
289,I feel like moving forward this app can help me allot
290,It's a good app because l don't forget to what l need to do because of this app l can do anything without forgetting things.
291,Happy and thankful for the developers.
292,Baap
293,I feel this to do list has helped a lot to organize my life.
294,Easy to use. Just wish it had a way to share a list.
295,It's good for going shopping and stuff so u don't forget to do stuff I love because it reminds me what I needa do and u can set some stuff like get chocolate from the store and then u go ro tye store and but chocolate and Chek it off I love it download it
296,So far I love it
297,It's very good
298,Helpful
299,Amazing! would recommend!!!😁👍
300,Easy to use and even if you don't pay for the extra stuff there's a lot of good options for you to use for free.
301,Very user friendly and easy to use
302,Excellent
303,best app ever
304,Good
305,Great app
306,Decent app ... So much features are there in app .But less features for non-premium member
307,"Wow... Kinda tailor-made for me... or anyone who would need a clean, simple yet have a 'to - do' with provisions to expand...e.g. to add sub-categories...! Thanks!"
308,Cool
309,Good
310,Nice app
311,"This is a really useful app .it is basically what I use to organize myself, it is sooo freaking cute I definitely recommend the one problem is that the app keeps glitching and when I close my phone the list that I was making just went poof other then that It is totally awesome 👍"
312,Interface is nice
313,حلو اوي
314,User friendly
315,Best
316,Is a really good app
317,I think it is ok for if you have things to check off and download it
318,Exelent experience
319,It is perfect for planning
320,Nice and wonderful app since I started to use it.
321,"It's nice if you are premium user... Free user can't really customize the repeatable task (like repeat every x day, etc) and also too many ads."
322,"I just downloaded the app as my friend recommend it to me. She said that the app was really useful and she was able to get her work done. I felt that she was genuine and decided to download the app. The app wasn't too complicated and was easy to use and function. However, I think the premium membership should not oop up frequently when users enter the app as they might find it frustrating."
323,Excelente app
324,Nice
325,I love this app because it is giving me notification to do my work
326,My favorito app
327,It makes you organized
328,It works great. It's not that hard to just make a task. But I wish there were more free templates and themes for free. But besides that it's a great app. 😁
329,"SUPER efficient & great way to start getting organized ESPECIALLY if that's one of your downfalls. The ONLY thing I REALLY REALLY REALLY DIDN'T LIKE was the price to upgrade to the pro version; I paid to upgrade to the pro version because of the benefits, but I REALLY think $40.00 is just a little too much!"
330,Why have l used it before...
331,Great App
332,Very good app👍👍
333,This app help us more efficiency on doing my work
334,This app is so great i love it
335,Extraordinary app he has a lot of features recommended to install you will not regret.
336,Great App. Do the work as required. Satisfied.
337,Smooth
338,"Good app, important for remember tasks. Contains little commercial advertisement."
339,"I love the app it keeps me organized as someone with adhd with my plans and what I should get done first based on time, overall good experience even with the free version of the app👍"
340,Good app to do work.
341,The best one I've tried so far
342,This is a good app for students.
343,Best app so far.
344,It's very helpful to me and my tasks
345,مبرنامج رائع ❤️❤️❤️❤️❤️❤️
346,Love it
347,Helps me do things ❤❤(≡^∇^≡)✺◟( ͡° ͜ʖ ͡°)◞✺o(〃＾▽＾〃)o
348,It's better now.
349,Good
350,"Pretty decent app, does exactly what you need it to besides a few things in which you need to pay for, but overall really good as someone who gets easily distracted this helps me keep on top of things without being overly annoying."
351,it is Ok but U have to Pay but i like it
352,Simple & easy to use
353,"honestly such a simple great app, i love it so much! but please consider add 'note' option so i can write things here too, thank you!"
354,Usefull
355,Seems easy and intuitive
356,"Tasks category: needs to choose the category before placing tasks. Really need it. Coz always forget to choose it and eventually all tasks are under ""no category"""
357,Purchase require 🥱
358,Seems good will give it a try
359,Fun.
360,خيالي 🤍
361,Gooooood
362,"y,gs"
363,Just started already happy with the app 💗
364,I immediately uninstalled the apps upon knowing that it would incurred monthly cost
365,This app is so amazing! it's easy to understand and help you organize your schedule!
366,Fun
367,"User friendly, the interface is amazing and best of all are the new features"
368,👍
369,Costly
370,Great multifunctional app with easy to do list and calendar all in one app.
371,👍
372,Go
373,Awesome
374,This is an amazing app you can set all your things to do here!
375,"Improvements: I checked all the features and so far I liked everything except that you can't select multiple task and delete it. In order to delete it, you have to click on each task and then find delete option which is time consuming. Please fix that"
376,Day 1... I like it so far. Im currently sampling the free version of a few and this one is my favorite thus far. Time will tell!
377,Nice app
378,Best to do ✅
379,Best experience
380,Best bhai best
381,Awesome
382,This app is good for use but if they develop this app to add daily timetable for free I may be 👍😊
383,Second best thing i found on play Store all these years.
384,"You have to pay for almost everything. My calendar would be more sufficient and it's free. Prices are ridiculous as well, there's no way I'm paying that much just to be reminded to take medicine or go to an appointment."
385,Good
386,Good
387,Nice app
388,This is really helpful when you forget your friends birthdays you can put in there and your family's and other you know
389,"So far I like what I see. It is a well designed app that meet the expectations I have from a . I will test it for a while, and then I will probably buy the full version. I will probably update my review after trying it. Thank you for your service. Update: sorting by date,time does not work. Does not sychronize with Google calendar. This is the second time a send feedback and I got no response, hence 3 stars."
390,This app is nice I like so much
391,It helps so much to keep track on your life to keep control over it .thank you 🙏💕 it is so beneficial
392,Nice app
393,"Muy bonita app, muy funcional. Me ayuda a organizar las cosas que tengo que hacer"
394,👍💖
395,Best app
396,Pretty cool
397,Great
398,I hate this app always because this app showing to long ads
399,جيد
